iter	AUC	Logloss
295	0.9784148612	0.176862397
296	0.9784241556	0.1768269298
297	0.9784293588	0.176807812
298	0.9784315683	0.1768016524
299	0.9784331805	0.1767953419
300	0.9784372826	0.1767785976
301	0.9784401444	0.176763277
302	0.9784416341	0.1767576082
303	0.9784501743	0.1767304218
304	0.9784537024	0.1767190013
305	0.9784632621	0.1766939402
306	0.9784669682	0.176681139
307	0.9784734625	0.1766588662
308	0.9784846649	0.1766163143
309	0.9784958669	0.1765649515
310	0.978499619	0.1765490074
311	0.9785068423	0.1765263587
312	0.9785147258	0.1764939036
313	0.9785238754	0.1764684717
314	0.9785267969	0.1764561147
315	0.9785387369	0.1764173979
316	0.9785423258	0.1764060308
317	0.9785452942	0.1763955602
318	0.9785462037	0.1763883617
319	0.9785503929	0.176370884
320	0.9785574963	0.1763415704
321	0.978560492	0.1763219796
322	0.9785662491	0.1762983751
323	0.9785692929	0.1762881367
324	0.9785773598	0.1762580416
325	0.9785834341	0.1762328293
326	0.9785873101	0.1762205387
327	0.9785935206	0.1762093768
328	0.9786028682	0.1761748217
329	0.9786061984	0.1761647358
330	0.9786076712	0.1761593933
331	0.9786129738	0.1761419427
332	0.9786197272	0.1761221174
333	0.9786253693	0.1761018623
334	0.978635258	0.1760645768
335	0.9786413794	0.1760447874
336	0.9786434901	0.176038602
337	0.9786438879	0.1760325148
338	0.978644286	0.1760290144
339	0.978654979	0.1759926331
340	0.9786651748	0.1759595614
341	0.9786672936	0.1759461173
342	0.9786702059	0.1759380633
343	0.9786742057	0.175924434
344	0.9786783315	0.1759098737
345	0.9786821554	0.1758943663
346	0.9786875602	0.1758671548
347	0.9786930598	0.1758438121
348	0.9786968439	0.1758311394
349	0.9786977308	0.1758274963
350	0.9787029986	0.17580847
351	0.9787106651	0.1757799748
352	0.9787172239	0.1757572053
353	0.9787279068	0.1757150637
354	0.9787299024	0.175706905
355	0.9787322282	0.175697231
356	0.978740797	0.1756597723
357	0.9787462044	0.1756433042
358	0.9787504209	0.1756311941
359	0.9787561152	0.1756151952
360	0.9787633437	0.1755761782
361	0.9787689733	0.1755560204
362	0.9787755718	0.1755338841
363	0.9787777603	0.1755249487
364	0.9787845843	0.175503289
365	0.9787868789	0.175497622
366	0.9787878627	0.1754902614
367	0.9787942569	0.175464423
368	0.9787969468	0.1754511165
369	0.9787992339	0.1754400459
370	0.9788018552	0.1754275307
371	0.9788063696	0.1754129576
372	0.9788141612	0.1753820536
373	0.9788167833	0.1753712678
374	0.9788211793	0.1753539538
375	0.9788267483	0.1753334976
376	0.9788288297	0.1753228322
377	0.9788319623	0.17531317
378	0.9788361446	0.175299657
379	0.9788396315	0.1752852589
380	0.9788439786	0.1752634508
381	0.9788463725	0.1752494109
382	0.9788512431	0.1752333152
383	0.9788550161	0.1752122625
384	0.9788621244	0.1751923815
385	0.9788675393	0.1751753313
386	0.9788758112	0.1751458172
387	0.9788835182	0.1751161617
388	0.9788904206	0.1750886343
389	0.9788936936	0.1750758569
390	0.9788992597	0.1750564823
391	0.9789041962	0.1750372923
392	0.9789086975	0.1750184748
393	0.9789097364	0.1750089947
394	0.9789151798	0.1749896664
395	0.9789244471	0.1749587747
396	0.9789258818	0.1749546973
397	0.978929004	0.1749399631
398	0.9789396789	0.1749111546
399	0.9789442048	0.1748943824
400	0.9789489688	0.1748741522
401	0.9789535686	0.1748583335
402	0.9789561804	0.1748485494
403	0.9789589644	0.1748400146
404	0.9789614418	0.1748299706
405	0.9789629658	0.1748219386
406	0.9789673633	0.1748114071
407	0.9789696503	0.1748018395
408	0.9789738447	0.1747906084
409	0.9789788483	0.1747737264
410	0.9789860333	0.1747474211
411	0.978988585	0.1747411747
412	0.9789921873	0.1747303713
413	0.9789958541	0.1747180152
414	0.9790020272	0.1746951698
415	0.9790068597	0.1746765813
416	0.9790122594	0.1746566555
417	0.9790135369	0.1746526579
418	0.9790200489	0.1746309972
419	0.9790220967	0.1746252591
420	0.9790243904	0.1746165697
421	0.9790279897	0.1746019952
422	0.9790346734	0.1745767458
423	0.9790370761	0.1745661604
424	0.9790410274	0.1745500678
425	0.9790473079	0.1745301272
426	0.9790508443	0.1745191043
427	0.9790558457	0.1745043892
428	0.9790603182	0.1744809699
429	0.9790624345	0.1744688004
430	0.9790648755	0.1744574866
431	0.9790755838	0.174411689
432	0.9790802343	0.1743987873
433	0.9790825643	0.1743898511
434	0.9790844913	0.1743847324
435	0.9790902936	0.17436333
436	0.9790961544	0.1743445243
437	0.9791019597	0.1743245577
438	0.9791064888	0.1743038574
439	0.9791088348	0.1742976418
440	0.9791113556	0.1742923801
441	0.9791198435	0.1742690971
442	0.9791277062	0.1742403886
443	0.979138685	0.1742080751
444	0.9791420794	0.1741948748
445	0.9791466246	0.1741750274
446	0.9791486984	0.1741663031
447	0.9791545885	0.1741491385
448	0.9791592808	0.1741348785
449	0.9791613711	0.1741268944
450	0.9791662798	0.174107855
451	0.9791686001	0.1740924996
452	0.9791711981	0.1740805042
453	0.9791735157	0.1740715472
454	0.9791768487	0.1740564082
455	0.9791831283	0.1740337452
456	0.9791842661	0.1740283631
457	0.9791901386	0.1740063956
458	0.979192353	0.1739967186
459	0.9791984664	0.1739743209
460	0.9792010349	0.173969263
461	0.9792036182	0.1739564866
462	0.9792094837	0.1739305126
463	0.9792120955	0.1739195464
464	0.9792136382	0.1739102495
465	0.9792169274	0.1738948178
466	0.9792201577	0.1738832362
467	0.9792247379	0.1738674021
468	0.9792259316	0.1738621568
469	0.9792303577	0.1738454852
470	0.9792353081	0.1738318952
471	0.9792384545	0.1738198165
472	0.9792415149	0.1738083633
473	0.9792455539	0.1738004316
474	0.9792496262	0.1737868023
475	0.9792565051	0.1737637396
476	0.9792584413	0.1737547493
477	0.9792635458	0.1737353079
478	0.9792666268	0.173722789
479	0.9792677514	0.1737186656
480	0.9792686775	0.1737116278
481	0.9792732621	0.1736940047
482	0.9792771725	0.1736787669
483	0.9792789376	0.1736721109
484	0.9792826135	0.1736601772
485	0.979291407	0.1736312559
486	0.9792929669	0.1736242832
487	0.979296551	0.1736118784
488	0.9792971261	0.1736056823
489	0.9793036044	0.1735866924
490	0.9793089179	0.1735687551
491	0.9793118991	0.173555427
492	0.9793158199	0.1735454412
493	0.979321249	0.1735281613
494	0.9793236251	0.1735202553
495	0.9793251907	0.1735147634
496	0.9793333509	0.1734889451
497	0.9793348727	0.1734794118
498	0.9793395417	0.1734639223
499	0.9793422597	0.1734538645
500	0.9793428493	0.1734505093
501	0.9793508868	0.1734181462
502	0.9793529602	0.1734075823
503	0.9793559671	0.1733982641
504	0.9793590269	0.1733872961
505	0.9793652667	0.1733647767
506	0.9793673283	0.1733535617
507	0.9793730185	0.173336971
508	0.979375446	0.1733296485
509	0.9793791328	0.1733130501
510	0.9793866519	0.1732822287
511	0.9793893062	0.1732683013
512	0.9793935131	0.1732509949
513	0.9793960724	0.1732429505
514	0.9793992565	0.1732286363
515	0.9794018862	0.1732188914
516	0.9794063392	0.1731995398
517	0.9794110773	0.173185841
518	0.9794163768	0.17316807
519	0.9794217754	0.173153232
520	0.9794237822	0.1731420777
521	0.9794277946	0.1731296538
522	0.9794346649	0.1730929135
523	0.9794364482	0.1730861648
524	0.9794396257	0.173076312
525	0.9794424852	0.1730693554
526	0.9794489392	0.1730458981
527	0.979451759	0.1730381728
528	0.9794583226	0.1730174105
529	0.9794596269	0.1730116561
530	0.9794625266	0.1730025434
531	0.9794671506	0.1729854664
532	0.9794688407	0.1729780867
533	0.9794735888	0.1729623507
534	0.9794760556	0.1729530622
535	0.9794787645	0.1729407479
536	0.9794811205	0.1729268401
537	0.9794834131	0.1729172334
538	0.9794867406	0.1729045124
539	0.9794874631	0.1729024528
540	0.9794902944	0.1728920231
541	0.9794922506	0.1728849619
542	0.9794953303	0.1728746739
543	0.9795007963	0.1728554824
544	0.9795092132	0.172815246
545	0.979511017	0.1728104739
546	0.979513186	0.1728037478
547	0.979517898	0.1727873963
548	0.979520147	0.1727787659
549	0.9795226513	0.1727707681
550	0.9795284364	0.1727459963
551	0.9795303576	0.1727389288
552	0.9795324697	0.1727313519
553	0.9795365651	0.1727190181
554	0.9795407297	0.1727071466
555	0.9795433262	0.1726934881
556	0.9795443733	0.1726899653
557	0.9795514201	0.1726646476
558	0.9795525579	0.1726597442
559	0.9795566726	0.1726423978
560	0.9795604835	0.1726284004
561	0.9795620117	0.1726231956
562	0.9795636643	0.1726190136
563	0.9795668568	0.1726018623
564	0.9795726682	0.1725825976
565	0.9795739794	0.1725760894
566	0.9795789106	0.1725599755
567	0.9795817095	0.1725490988
568	0.9795864111	0.1725315363
569	0.979589247	0.1725192338
570	0.9795924123	0.1725090492
571	0.9795951715	0.1724980039
572	0.9795980028	0.1724888484
573	0.9796029084	0.1724741756
574	0.9796071315	0.172460035
575	0.9796125294	0.1724401799
576	0.979616711	0.172428765
577	0.9796187819	0.1724178427
578	0.9796213482	0.1724112144
579	0.9796224473	0.1724078218
580	0.9796242784	0.1723993737
581	0.97962765	0.1723851647
582	0.9796306043	0.1723689419
583	0.9796332888	0.1723544112
584	0.9796381903	0.1723342859
585	0.9796410802	0.1723198222
586	0.979643755	0.1723104864
587	0.9796468587	0.1722974927
588	0.9796485965	0.1722888274
589	0.979650259	0.1722836906
590	0.9796535341	0.1722741134
591	0.9796544564	0.1722717711
592	0.9796575537	0.1722553393
593	0.9796601442	0.1722480247
594	0.9796642901	0.1722368595
595	0.9796670324	0.1722265023
596	0.9796719135	0.1722132568
597	0.9796770459	0.1722013791
598	0.9796792502	0.1721921972
599	0.9796810682	0.172181536
600	0.9796841408	0.1721704304
601	0.9796879687	0.172157383
602	0.9796887715	0.1721533829
603	0.9796918933	0.1721435241
604	0.9796939119	0.1721370674
605	0.9796996353	0.1721190098
606	0.979700801	0.1721144522
607	0.9797029125	0.17210766
608	0.9797063478	0.1720958368
609	0.9797094896	0.1720843917
610	0.9797119012	0.1720774919
611	0.9797129363	0.1720729992
612	0.9797183781	0.1720547098
613	0.9797214435	0.1720434787
614	0.979723616	0.1720372271
615	0.979724651	0.1720329336
616	0.979727089	0.1720235998
617	0.9797283507	0.172013982
618	0.9797354479	0.1719811464
619	0.9797386051	0.1719673979
620	0.9797422622	0.1719566605
621	0.9797439944	0.1719466797
622	0.9797478425	0.1719332669
623	0.9797492591	0.1719275316
624	0.9797529395	0.1719146537
625	0.979756543	0.1719028712
626	0.9797574272	0.1718988382
627	0.9797615415	0.1718824274
628	0.9797660405	0.1718588962
629	0.9797694648	0.1718467485
630	0.9797733695	0.1718344516
631	0.9797762381	0.1718254833
632	0.9797824813	0.1718077502
633	0.9797834857	0.1718035355
634	0.9797859569	0.1717921837
635	0.9797869485	0.1717876852
636	0.9797897587	0.1717758452
637	0.9797907437	0.1717727799
638	0.9797951461	0.171755378
639	0.979797546	0.1717462931
640	0.9797995843	0.1717387189
641	0.9798020628	0.1717285189
642	0.979804306	0.1717218825
643	0.9798088675	0.1717083789
644	0.9798118843	0.1716965204
645	0.9798122114	0.1716928444
646	0.9798150927	0.1716839783
647	0.9798182593	0.1716714877
648	0.9798221226	0.1716593744
649	0.9798230348	0.1716562929
650	0.979827026	0.1716401228
651	0.9798315693	0.1716256404
652	0.9798345176	0.1716141303
653	0.9798388164	0.1716001072
654	0.9798426176	0.1715850013
655	0.9798459515	0.1715744195
656	0.9798488597	0.1715615938
657	0.9798503954	0.1715492657
658	0.9798531183	0.1715427242
659	0.9798563405	0.1715318943
660	0.9798614988	0.1715136354
661	0.9798640907	0.1715002472
662	0.9798652646	0.1714959405
663	0.9798664815	0.1714909034
664	0.9798675448	0.1714856509
665	0.9798739355	0.1714683153
666	0.9798751565	0.1714643733
667	0.979876645	0.1714568606
668	0.9798781478	0.1714509917
669	0.9798808316	0.1714398412
670	0.9798847143	0.1714262991
671	0.9798858908	0.1714214258
672	0.9798889365	0.1714098814
673	0.9798909905	0.171402704
674	0.9798927411	0.1713943458
675	0.9798936175	0.1713892769
676	0.9798969069	0.1713784016
677	0.9798991119	0.1713715896
678	0.9799072448	0.1713431093
679	0.9799093904	0.1713352987
680	0.9799105944	0.171330949
681	0.9799186803	0.1713076335
682	0.9799232213	0.171293052
683	0.9799259413	0.1712849568
684	0.9799270756	0.1712800243
685	0.979931725	0.1712682767
686	0.9799339392	0.1712612017
687	0.9799365399	0.1712533288
688	0.9799426148	0.1712375834
689	0.9799438098	0.1712311397
690	0.9799477013	0.1712167519
691	0.9799498234	0.1712048002
692	0.9799531152	0.1711931575
693	0.9799564859	0.1711838134
694	0.9799577674	0.1711791695
695	0.9799592908	0.1711726599
696	0.9799604996	0.171162896
697	0.9799612482	0.17115882
698	0.9799649973	0.1711394254
699	0.9799668943	0.171135886
700	0.9799676152	0.1711332214
701	0.9799698562	0.1711257012
702	0.9799722392	0.1711123181
703	0.979975306	0.1711005322
704	0.979977407	0.1710947191
705	0.9799809106	0.1710804735
706	0.9799836513	0.1710680416
707	0.9799854065	0.1710638046
708	0.9799862362	0.1710596552
709	0.9799889881	0.1710470568
710	0.9799911046	0.1710391236
711	0.9799945426	0.1710274735
712	0.9799955907	0.1710235361
713	0.979996389	0.1710202445
714	0.9799990672	0.1710071511
715	0.9800030188	0.17099751
716	0.9800060455	0.170985278
717	0.9800076839	0.170978908
718	0.9800090493	0.1709706944
719	0.9800099939	0.1709641337
720	0.9800113746	0.1709576104
721	0.9800147443	0.1709385192
722	0.9800185268	0.1709241675
723	0.9800224497	0.1709084753
724	0.9800251251	0.1708951739
725	0.9800283029	0.1708847417
726	0.9800320262	0.1708735094
727	0.9800324512	0.1708707194
728	0.9800330771	0.1708664364
729	0.9800361121	0.1708575575
730	0.9800376562	0.1708530666
731	0.9800407879	0.1708399803
732	0.9800434075	0.1708307075
733	0.9800451379	0.1708236481
734	0.9800479903	0.1708109856
735	0.9800506778	0.1708043156
736	0.9800518051	0.1707987696
737	0.9800549806	0.1707870852
738	0.9800570996	0.1707781612
739	0.9800595694	0.1707725625
740	0.9800654425	0.1707577845
741	0.9800686042	0.1707428452
742	0.9800696315	0.1707404943
743	0.9800714324	0.1707351454
744	0.9800745164	0.170721578
745	0.9800776807	0.1707064526
746	0.9800796625	0.1706967177
747	0.9800822884	0.1706864778
748	0.9800842873	0.1706776379
749	0.9800854965	0.1706740787
750	0.9800875516	0.1706649371
751	0.9800899248	0.1706582418
752	0.9800917275	0.1706522476
753	0.9800941767	0.1706437822
754	0.9800952082	0.1706372323
755	0.9800968577	0.1706288089
756	0.9800989201	0.1706181771
757	0.9801031334	0.1706063842
758	0.9801069849	0.1705931851
759	0.9801100585	0.1705801454
760	0.9801117922	0.170572452
761	0.9801140806	0.1705648639
762	0.9801162696	0.1705590595
763	0.9801184986	0.1705514944
764	0.9801201196	0.1705464992
765	0.98012122	0.170542338
766	0.980122531	0.1705374713
767	0.9801237709	0.1705310493
768	0.9801269514	0.1705184706
769	0.9801279826	0.1705134095
770	0.9801319757	0.1704987576
771	0.9801353966	0.1704864428
772	0.980137635	0.1704796833
773	0.9801398001	0.1704694202
774	0.9801429919	0.1704587431
775	0.9801459197	0.1704464372
776	0.9801481541	0.1704364096
777	0.9801491764	0.1704330811
778	0.9801508393	0.1704254582
779	0.9801513126	0.1704223581
780	0.980152446	0.1704176797
781	0.9801533489	0.1704136562
782	0.980154049	0.1704110156
783	0.9801553647	0.1704049103
784	0.9801596986	0.1703852921
785	0.9801629511	0.1703752843
786	0.9801651117	0.1703669714
787	0.9801661649	0.1703587932
788	0.9801696097	0.1703466019
789	0.9801723314	0.1703376861
790	0.980174473	0.1703279727
791	0.9801771898	0.1703163466
792	0.9801793948	0.1703055161
793	0.9801815688	0.1702983985
